1,Fannie,Grant,af@lemu.co.uk,5.01832E+15,(758) 300-6573,"$5,634.90 "
2,Adelaide,Lewis,la@he.edu,6.01139E+15,(216) 324-1878,"$3,452.45 "
3,Roy,Davis,zoh@evpu.edu,6.37942E+15,(670) 560-9755,"$9,895.54 "
4,Dennis,Klein,ali@hahop.co.uk,5.19452E+15,(242) 949-5011,"$8,493.88 "
5,Lida,Strickland,cemifogup@ofesidik.org,4.34773E+15,(323) 712-2512,"$1,600.81 "
6,Aaron,Garrett,di@amgov.org,5.47718E+15,(618) 870-3886,"$7,439.85 "
7,Johanna,Williamson,wukhitut@bij.co.uk,5.45306E+15,(510) 234-7658,$72.13 
8,Jean,Larson,ij@ote.org,6.33416E+15,(552) 910-2823,"$7,607.12 "
9,Theodore,Owen,ug@gaboriw.edu,3.61831E+13,(785) 536-7949,"$1,791.35 "
10,Ola,Dunn,piloemu@ef.gov,6.23887E+15,(605) 784-1169,"$7,048.09 "
11,Bernice,Brock,cili@va.io,5.44338E+15,(804) 809-5320,"$9,965.68 "
12,Franklin,Harrison,lut@huziv.co.uk,3.62545E+13,(575) 574-5681,"$5,240.64 "
13,Katharine,Burns,neh@enco.org,6.30484E+15,(364) 303-8207,"$9,828.89 "
14,Travis,Palmer,lijoodi@desmugo.com,6.33455E+15,(905) 495-9076,$157.78 
15,Alvin,Quinn,pomroc@oswentu.com,6.33481E+15,(564) 213-5852,"$4,789.94 "
16,Gussie,Mack,kuwufane@gironek.co.uk,5.01878E+15,(500) 456-2004,"$6,675.36 "
17,Jerry,Richardson,hefiwtej@se.io,6.37465E+15,(757) 918-1687,"$6,507.05 "
17,Jerry,Richardson,hefiwtej@se.io,6.37465E+15,(757) 918-1687,"$6,507.05 "
17,Jerry,Richardson,hefiwtej@se.io,6.37465E+15,(757) 918-1687,"$6,507.05 "
17,Jerry,Richardson,hefiwtej@se.io,6.37465E+15,(757) 918-1687,"$6,507.05 "
